ID,date,city,variable,amount,cid
1,2006, 臺灣地區,家庭收支.平均戶內人口數,3.41,A
2,2006, 新北市,家庭收支.平均戶內人口數,3.28,A
3,2006, 臺北市,家庭收支.平均戶內人口數,3.34,A
4,2006, 桃園市,家庭收支.平均戶內人口數,3.7,A
5,2006, 臺中市,家庭收支.平均戶內人口數,3.58,A
6,2006, 臺南市,家庭收支.平均戶內人口數,3.4,A
7,2006, 高雄市,家庭收支.平均戶內人口數,3.27,A
8,2006, 宜蘭縣,家庭收支.平均戶內人口數,3.37,A
9,2006, 新竹縣,家庭收支.平均戶內人口數,3.92,A
10,2006, 苗栗縣,家庭收支.平均戶內人口數,3.49,A
11,2006, 彰化縣,家庭收支.平均戶內人口數,3.8,A
12,2006, 南投縣,家庭收支.平均戶內人口數,3.53,A
13,2006, 雲林縣,家庭收支.平均戶內人口數,3.33,A
14,2006, 嘉義縣,家庭收支.平均戶內人口數,3.32,A
15,2006, 屏東縣,家庭收支.平均戶內人口數,3.36,A
16,2006, 臺東縣,家庭收支.平均戶內人口數,2.91,A
17,2006, 花蓮縣,家庭收支.平均戶內人口數,2.83,A
18,2006, 澎湖縣,家庭收支.平均戶內人口數,2.95,A
19,2006, 基隆市,家庭收支.平均戶內人口數,3.22,A
20,2006, 新竹市,家庭收支.平均戶內人口數,3.51,A
21,2006, 嘉義市,家庭收支.平均戶內人口數,3.26,A
22,2006, 金門縣,家庭收支.平均戶內人口數,3.55,A
23,2006, 連江縣,家庭收支.平均戶內人口數,3.4,A
24,2007, 臺灣地區,家庭收支.平均戶內人口數,3.38,A
25,2007, 新北市,家庭收支.平均戶內人口數,3.48,A
26,2007, 臺北市,家庭收支.平均戶內人口數,3.31,A
27,2007, 桃園市,家庭收支.平均戶內人口數,3.55,A
28,2007, 臺中市,家庭收支.平均戶內人口數,3.56,A
29,2007, 臺南市,家庭收支.平均戶內人口數,3.33,A
30,2007, 高雄市,家庭收支.平均戶內人口數,3.22,A
31,2007, 宜蘭縣,家庭收支.平均戶內人口數,3.31,A
32,2007, 新竹縣,家庭收支.平均戶內人口數,3.75,A
33,2007, 苗栗縣,家庭收支.平均戶內人口數,3.52,A
34,2007, 彰化縣,家庭收支.平均戶內人口數,3.64,A
35,2007, 南投縣,家庭收支.平均戶內人口數,3.57,A
36,2007, 雲林縣,家庭收支.平均戶內人口數,3.02,A
37,2007, 嘉義縣,家庭收支.平均戶內人口數,3.12,A
38,2007, 屏東縣,家庭收支.平均戶內人口數,3.18,A
39,2007, 臺東縣,家庭收支.平均戶內人口數,2.88,A
40,2007, 花蓮縣,家庭收支.平均戶內人口數,2.93,A
41,2007, 澎湖縣,家庭收支.平均戶內人口數,2.99,A
42,2007, 基隆市,家庭收支.平均戶內人口數,3.23,A
43,2007, 新竹市,家庭收支.平均戶內人口數,3.48,A
44,2007, 嘉義市,家庭收支.平均戶內人口數,3.04,A
45,2007, 金門縣,家庭收支.平均戶內人口數,3.66,A
46,2007, 連江縣,家庭收支.平均戶內人口數,3.46,A
47,2008, 臺灣地區,家庭收支.平均戶內人口數,3.35,A
48,2008, 新北市,家庭收支.平均戶內人口數,3.41,A
49,2008, 臺北市,家庭收支.平均戶內人口數,3.29,A
50,2008, 桃園市,家庭收支.平均戶內人口數,3.53,A
51,2008, 臺中市,家庭收支.平均戶內人口數,3.52,A
52,2008, 臺南市,家庭收支.平均戶內人口數,3.32,A
53,2008, 高雄市,家庭收支.平均戶內人口數,3.29,A
54,2008, 宜蘭縣,家庭收支.平均戶內人口數,3.28,A
55,2008, 新竹縣,家庭收支.平均戶內人口數,3.74,A
56,2008, 苗栗縣,家庭收支.平均戶內人口數,3.44,A
57,2008, 彰化縣,家庭收支.平均戶內人口數,3.68,A
58,2008, 南投縣,家庭收支.平均戶內人口數,3.33,A
59,2008, 雲林縣,家庭收支.平均戶內人口數,2.96,A
60,2008, 嘉義縣,家庭收支.平均戶內人口數,2.87,A
61,2008, 屏東縣,家庭收支.平均戶內人口數,3.14,A
62,2008, 臺東縣,家庭收支.平均戶內人口數,2.99,A
63,2008, 花蓮縣,家庭收支.平均戶內人口數,3.06,A
64,2008, 澎湖縣,家庭收支.平均戶內人口數,3,A
65,2008, 基隆市,家庭收支.平均戶內人口數,3.12,A
66,2008, 新竹市,家庭收支.平均戶內人口數,3.59,A
67,2008, 嘉義市,家庭收支.平均戶內人口數,2.99,A
68,2008, 金門縣,家庭收支.平均戶內人口數,3.71,A
69,2008, 連江縣,家庭收支.平均戶內人口數,3.4,A
